Rand,Holdout,Category ,Title,Synopsis
0.060096139,Train,Occult and Political Mysteries Set in Medieval and Renaissance Europe,An Instance of the Fingerpost,"We are in England in the 1660s. Charles II has been restored to the throne following years of civil war and Cromwell's short-lived republic. Oxford is the intellectual seat of the country, a place of great scientific, religious, and political ferment. A fellow of New College is found dead in suspicious circumstances. A young woman is accused of his murder. We hear the story of the death from four witnesses: an Italian physician intent on claiming credit for the invention of blood transfusion; the son of an alleged Royalist traitor; a master cryptographer who has worked for both Cromwell and the king; and a renowned Oxford antiquarian. Each tells his own version of what happened. Only one reveals the extraordinary truth. With rights sold for record-breaking sums around the world, An Instance of the Fingerpost is destined to become a major international publishing event. Deserving of comparison to the works of John Fowles and Umberto Eco, Iain Pears's novel is an ingenious tour de force: an utterly compelling historical mystery with a plot that twists and turns and keeps the reader guessing until the very last page."
0.097448706,Train,Occult and Political Mysteries Set in Medieval and Renaissance Europe,The Miniaturist,"Set in seventeenth century Amsterdam—a city ruled by glittering wealth and oppressive religion—a masterful debut steeped in atmosphere and shimmering with mystery, in the tradition of Emma Donoghue, Sarah Waters, and Sarah Dunant. ”There is nothing hidden that will not be revealed . . .“ On a brisk autumn day in 1686, eighteen-year-old Nella Oortman arrives in Amsterdam to begin a new life as the wife of illustrious merchant trader Johannes Brandt. But her new home, while splendorous, is not welcoming. Johannes is kind yet distant, always locked in his study or at his warehouse office—leaving Nella alone with his sister, the sharp-tongued and forbidding Marin. But Nella’s world changes when Johannes presents her with an extraordinary wedding gift: a cabinet-sized replica of their home. To furnish her gift, Nella engages the services of a miniaturist—an elusive and enigmatic artist whose tiny creations mirror their real-life counterparts in eerie and unexpected ways . . . Johannes’ gift helps Nella to pierce the closed world of the Brandt household. But as she uncovers its unusual secrets, she begins to understand—and fear—the escalating dangers that await them all. In this repressively pious society where gold is worshipped second only to God, to be different is a threat to the moral fabric of society, and not even a man as rich as Johannes is safe. Only one person seems to see the fate that awaits them. Is the miniaturist the key to their salvation . . . or the architect of their destruction? Enchanting, beautiful, and exquisitely suspenseful, The Miniaturist is a magnificent story of love and obsession, betrayal and retribution, appearance and truth."
0.160237469,Train,Occult and Political Mysteries Set in Medieval and Renaissance Europe,The Nun’s Tale,"“[An] engrossing tale…imbued with the flavor of English medieval life, Robb’s story melds true events with fiction to create a gripping historical mystery.” —PUBLISHERS WEEKLY Based on an enigmatic entry in the records of Clementhorpe Nunnery, this authentic, gripping mystery conjures a 14th century ripe with forbidden passions and political intrigue. When young nun Joanna Calverley dies of a fever in the town of Beverley in the summer of 1365, she is buried quickly for fear of the plague. But a year later, Archbishop Thoresby learns of a woman who has arrived in York claiming to be the resurrected nun, talking of relic-trading and miracles. And death seems to ride in her wake. The archbishop sends Owen Archer to retrace the woman’s journey, an investigation that leads him across the north from Leeds to Beverley to Scarborough. Along the way he encounters Geoffrey Chaucer, a spy for the king of England, who believes there is a connection between the nun’s troubles, renegade mercenaries, and the powerful Percy family. Back in York, however, Owen’s wife Lucie, pregnant with their first child, has won the confidence of the mysterious nun and realizes that there are secrets hidden in the woman’s seemingly mad ramblings..."
0.182724401,Train,Critically Acclaimed Mysteries Set in 1800–1950,The Last Days of Night,"NEW YORK TIMES BESTSELLER • A thrilling novel based on actual events, about the nature of genius, the cost of ambition, and the battle to electrify America—from the Oscar-winning screenwriter of The Imitation Game and author of The Sherlockian NAMED ONE OF THE BEST BOOKS OF THE YEAR BY THE WASHINGTON POST • SOON TO BE A MAJOR MOTION PICTURE STARRING EDDIE REDMAYNE New York, 1888. Gas lamps still flicker in the city streets, but the miracle of electric light is in its infancy. The person who controls the means to turn night into day will make history—and a vast fortune. A young untested lawyer named Paul Cravath, fresh out of Columbia Law School, takes a case that seems impossible to win. Paul’s client, George Westinghouse, has been sued by Thomas Edison over a billion-dollar question: Who invented the light bulb and holds the right to power the country? The case affords Paul entry to the heady world of high society—the glittering parties in Gramercy Park mansions, and the more insidious dealings done behind closed doors. The task facing him is beyond daunting. Edison is a wily, dangerous opponent with vast resources at his disposal—private spies, newspapers in his pocket, and the backing of J. P. Morgan himself. Yet this unknown lawyer shares with his famous adversary a compulsion to win at all costs. How will he do it? In obsessive pursuit of victory, Paul crosses paths with Nikola Tesla, an eccentric, brilliant inventor who may hold the key to defeating Edison, and with Agnes Huntington, a beautiful opera singer who proves to be a flawless performer on stage and off. As Paul takes greater and greater risks, he’ll find that everyone in his path is playing their own game, and no one is quite who they seem. Praise for The Last Days of Night “A satisfying romp . . . Takes place against a backdrop rich with period detail . . . Works wonderfully as an entertainment . . . As it charges forward, the novel leaves no dot unconnected.”—Noah Hawley, The New York Times Book Review “This captivating historical novel illuminates a fascinating American moment.”—People “A fascinating portrait of American inventors . . . Moore crafts a compelling narrative out of [Paul] Cravath’s cunning legal maneuvers and [Nikola] Tesla’s world-changing tinkering, while a story line on opera singer Agnes Huntington has the mysterious glamour of The Great Gatsby. . . . Moore weaves a complex web. . . .  He conjures Gilded Age New York City so vividly, it feels like only yesterday.”—Entertainment Weekly “A model of superior historical fiction . . . Graham Moore digs deep into long-forgotten facts to give us an exciting, sometimes astonishing story of two geniuses locked in a brutal battle to change the world. . . . [A] brilliant journey into the past.”—The Washington Post “Mesmerizing, clever, and absolutely crackling, The Last Days of Night is a triumph of imagination. Graham Moore has chosen Gilded Age New York as his playground, with outsized characters—Edison, Tesla, Westinghouse—as his players. The result is a beautifully researched, endlessly entertaining novel that will leave you buzzing.”—Gillian Flynn, author of Gone Girl “It’s part legal thriller, part tour of a magical time—the age of wonder—and once you’ve finished it, you’ll find it hard to return to the world of now.”—Erik Larson, author of The Devil in the White City"
0.196468082,Train,Critically Acclaimed Mysteries Set in 1800–1950,The Luminaries,"The bestselling, Man Booker Prize-winning novel hailed as ""a true achievement. Catton has built a lively parody of a 19th-century novel, and in so doing created a novel for the 21st, something utterly new. The pages fly.""--New York Times Book Review It is 1866, and Walter Moody has come to stake his claim in New Zealand's booming gold rush. On the stormy night of his arrival, he stumbles across a tense gathering of 12 local men who have met in secret to discuss a series of unexplained events: a wealthy man has vanished, a prostitute has tried to end her life, and an enormous cache of gold has been discovered in the home of a luckless drunk. Moody is soon drawn into a network of fates and fortunes that is as complex and exquisitely ornate as the night sky.Richly evoking a mid-nineteenth-century world of shipping, banking, and gold rush boom and bust, THE LUMINARIES is at once a fiendishly clever ghost story, a gripping page-turner, and a thrilling novelistic achievement. It richly confirms that Eleanor Catton is one of the brightest stars in the international literary firmament."
0.204537788,Train,Female-Centered Murder Mysteries Set in 1914–1945 England,Murder at the Brightwell,"Amory Ames is a wealthy young woman who regrets her marriage to her notoriously charming playboy husband, Milo. Looking for a change, she accepts a request for help from her former fiancé, Gil Trent, not knowing that she'll soon become embroiled in a murder investigation that will test not only her friendship with Gil, but will upset the status quo with her husband. Amory accompanies Gil to the Brightwell Hotel in an attempt to circumvent the marriage of his sister, Emmeline, to Rupert Howe, a disreputable ladies' man. Amory sees in the situation a grim reflection of her own floundering marriage. There is more than her happiness at stake, however, when Rupert is murdered and Gil is arrested for the crime. Amory is determined to prove his innocence and find the real killer, despite attempted dissuasion from the disapproving police inspector on the case. Matters are further complicated by Milo's unexpected arrival, and the two form an uneasy alliance as Amory enlists his reluctant aid in clearing Gil's name. As the stakes grow higher and the line between friend and foe becomes less clear, Amory must decide where her heart lies and catch the killer before she, too, becomes a victim.Ashley Weaver's Murder at the Brightwell is a delicious mystery in which murder invades polite society and romance springs in unexpected places."
0.27638061,Train,Mysteries Set in Victorian and Edwardian England,The Solitary House,"Lynn Shepherd’s first acclaimed novel of historical suspense, Murder at Mansfield Park, brilliantly reimagined the era of Jane Austen. Now, in this spellbinding new triumph, she introduces an unforgettable duo of detectives into the gaslit world of Dickens. London, 1850. Charles Maddox had been an up-and-coming officer for the Metropolitan police until a charge of insubordination abruptly ended his career. Now he works alone, struggling to eke out a living by tracking down criminals. Whenever he needs it, he has the help of his great-uncle Maddox, a legendary “thief taker,” a detective as brilliant and intuitive as they come. On Charles’s latest case, he’ll need all the assistance he can get. To his shock, Charles has been approached by Edward Tulkinghorn, the shadowy and feared attorney, who offers him a handsome price to do some sleuthing for a client. Powerful financier Sir Julius Cremorne has been receiving threatening letters, and Tulkinghorn wants Charles to—discreetly—find and stop whoever is responsible. But what starts as a simple, open-and-shut case swiftly escalates into something bigger and much darker. As he cascades toward a collision with an unspeakable truth, Charles can only be aided so far by Maddox. The old man shows signs of forgetfulness and anger, symptoms of an age-related ailment that has yet to be named. Intricately plotted and intellectually ambitious, The Solitary House is an ingenious novel that does more than spin an enthralling tale: It plumbs the mysteries of the human mind.Praise for The Solitary House “A Victorian tour de force . . . a must-read.”—Kirkus Reviews (starred review)  “Dickens fans will rejoice. . . . [Lynn] Shepherd leaves the reader spellbound.”—Booklist (starred review) “The star of Lynn Shepherd’s intriguing mystery novel is mid-century Victorian London. . . . Her suspenseful story and winning prose ably serve her literary conceit.”—Associated Press “Intellectually enthralling, with dark twists at every turn . . . a haunting novel that will have you guessing until the last pages.”—Historical Novels Review “Lynn Shepherd has a knack for setting literary murder puzzles. . . . This literary magpie-ism is a treat for book lovers, a little nudge-and-a-wink here and there which delights fans of these other works without alienating those who haven’t read them yet. . . . An intelligent, gripping and beautifully written novel.”—The Scotsman “The reader is plunged into a complex but comprehensible labyrinth of deception.”—Publishers Weekly (starred review)"
0.33563886,Train,Historical Thrillers About Books and Art,The Muse,"“Love, war, desire, and art—it’s all here.” —Elle Two Women. Two Ears. One painting that ties them together. July 1967, Mayfair, London--a painting is left propped on the doorstep of the Skeleton Gallery, discovered by Odelle Bastien, a Caribbean émigré trying to make her way in London. The painting is rumored to be the work of Isaac Robles, whose mysterious death has confounded the art world for decades. The excitement over the painting is only matched by the tension around the conflicting stories of its discovery. Odelle is unsure who or what to believe as she is drawn into a complex web of secrets and deceptions. Thirty years earlier, Olive Schloss, the daughter of a Viennese Jewish art dealer, follows her parents to a village in southern Spain that is rife with unrest. It is here Olive meets María Teresita, the young housekeeper, and María’s half-brother Isaac Robles, an ambitious painter newly returned from the Barcelona salons. The illegitimate offspring of the local landowner, neither sibling has anything to lose when by exploiting these new guests in their poverty-stricken town. As they insinuate themselves into the family, the consequences are devastating and echo into the decades to come.In vividly rendered detail, acclaimed author Jessie Burton spins a tale of desire, ambition, and the ways in which the tides of history inevitably shape and define our lives."
0.344771261,Train,Female-Centered Murder Mysteries Set in 1914–1945 England,Murder in the Afternoon,"An intricate plot in the post-WWI English countryside and Frances Brody's ""refreshingly complex heroine"" (Kirkus) combine in Murder in the Afternoon, an absorbing mystery. Dead one minute…Young Harriet and her brother Austin have always been scared of the quarry where their stone mason father works. So when they find him dead on the cold ground, they rush off quickly to look for some help. Alive the next? When help arrives, however, the quarry is deserted and there is no sign of the body. Were the children mistaken? Is their father not dead? Did he simply get up and run away? A sinister disappearing act It seems like another unusual case requiring the expertise of Kate Shackleton--and Mary Jane, the children's mother, is adamant that only she can help. But Mary Jane is hiding something--a secret from Kate's past that raises the stakes and puts both Kate and her family at risk."
0.351436881,Train,Mysteries Set in Victorian and Edwardian England,Blind Justice,"For a generation, Anne Perry’s New York Times bestselling novels have invited readers to explore the brilliantly seductive heart of Victorian London, where great wealth and great evil live side by side, and great men sometimes make unfortunate choices. In Blind Justice, Hester Monk, the wife of William Monk, commander of the Thames River Police, questions the finances of a London church whose members’ hard-earned charitable gifts appear to have ended up in the pocket of charismatic preacher Abel Taft, paying for his fine home and the stylish outfits of his wife and daughters. Taft is accused of extortion, and brilliant barrister Oliver Rathbone, newly appointed a judge, is chosen to preside over his trial. It seems clear that Taft is indeed guilty. However, at the last second, the defense produces a witness who completely undermines the charges. Then Rathbone makes a well-meaning but reckless move that could ruin his career, his reputation, and his life. Blind Justice presents a rich and lively panorama of London life, from the teeming Thames docks to the wealthy West End, while unfolding a magnificent courtroom drama. And while justice, law, and morality hang in the balance, Hester and Monk race to save their distinguished friend Rathbone from disgrace. The incomparable art of Anne Perry grips us fast until the final, unforgettable scene."
